user_id,pre_missed_calls,pre_avg_wait
166377,17,14.250000
166391,2,4.000000
166392,31,7.022222
166405,1392,15.611976
166406,21,26.983333
166407,7,44.166667
166428,17,4.190000
166482,5,21.333333
166485,104,15.094661
166487,7,6.266667
166495,15,1.500000
166503,56,53.943182
166511,248,25.066970
166520,93,20.665253
166533,1,2.000000
166536,40,9.894118
166541,89,24.813302
166548,17,14.800000
166582,97,5.844367
166585,1,7.000000
166604,62,21.529167
166609,15,8.057143
166636,27,38.986772
166658,184,8.721556
166660,3,37.500000
166669,1,5.000000
166678,71,21.497059
166680,134,11.046869
166688,3,21.333333
166691,15,31.229167
166692,2,22.000000
166708,108,27.903889
166711,4,12.500000
166713,10,57.785714
166717,38,16.505556
166725,88,9.270201
166726,1,110.000000
166732,75,48.957782
166774,1,6.000000
166782,139,24.331048
166800,40,24.347685
166803,3,16.666667
166812,2,15.500000
166813,13,10.722222
166833,30,22.218750
166836,23,33.653846
166837,743,4.092574
166839,48,22.942551
166843,2,38.500000
166879,25,12.305556
166884,7,2.000000
166896,80,19.926937
166899,14,9.190476
166901,64,16.865789
166916,189,25.991053
166939,133,23.050934
166940,16,6.833333
166971,35,8.383333
166973,22,18.933333
166974,63,16.067708
166975,6,8.333333
166983,134,65.559333
166985,5,20.375000
166997,10,45.857143
167002,19,0.986111
167003,5,32.500000
167004,113,9.642856
167016,778,14.286903
167031,2,25.500000
167035,76,16.693813
167052,83,36.516246
167059,31,35.005952
167060,34,9.108974
167061,30,3.605357
167071,800,30.032903
167077,14,2.000000
167078,185,34.682824
167079,1,27.000000
167082,10,21.750000
167102,5,24.375000
167109,26,29.030556
167110,19,2.250000
167112,31,21.563889
167114,1,1.000000
167139,1,26.000000
167150,92,16.552569
167158,190,8.221961
167172,11,19.690476
167175,23,20.506410
167176,32,19.670833
167180,5,12.250000
167185,49,75.437500
167188,16,11.541667
167199,76,19.275340
167200,59,11.938095
167235,60,26.295455
167238,26,0.275000
167242,8,4.062500
167246,7,47.333333
167263,6,18.000000
167264,339,37.004551
167265,1,2.000000
167272,8,24.750000
167275,4,21.833333
167277,2,26.500000
167286,19,13.038462
167338,6,28.125000
167359,41,41.350000
167397,3,10.000000
167402,9,22.055556
167412,8,12.000000
167436,32,26.587302
167445,702,31.103320
167451,63,3.252619
167456,6,35.888889
167466,152,29.623724
167471,40,34.493750
167475,1,26.000000
167479,91,11.042895
167487,10,12.928571
167497,150,27.181719
167506,2,29.500000
167521,1035,30.081845
167532,142,23.197668
167533,48,1.526455
167534,1,81.000000
167543,58,2.491071
167545,36,19.807143
167580,35,16.230769
167599,45,2.893651
167621,9,30.000000
167630,2,44.000000
167634,9,33.166667
167644,36,33.511905
167646,9,43.500000
167650,1288,35.892163
167653,1040,14.840479
167654,1061,17.452129
167664,9,11.857143
167715,12,26.321429
167716,22,5.490909
167721,4,2.000000
167727,46,15.705357
167742,14,19.740741
167744,3,17.500000
167747,16,23.350000
167756,165,12.024915
167781,12,20.095238
167792,7,22.666667
167799,102,19.546499
167805,1,2.000000
167816,47,10.574405
167827,271,28.862657
167828,242,14.896866
167829,26,21.928571
167840,20,5.809524
167847,6,15.250000
167852,18,24.475000
167870,48,48.549206
167888,510,24.835231
167906,4,22.000000
167908,20,1.888889
167923,2,0.000000
167927,5,11.200000
167930,12,6.500000
167936,2,29.500000
167947,22,1.384615
167948,7,23.041667
167949,10,13.375000
167955,118,0.595011
167958,75,8.646978
167969,29,28.494615
167976,8,21.357143
167977,171,34.125953
167981,1,2.000000
167989,11,26.571429
167994,21,22.045455
167995,28,20.791486
167998,2,5.500000
167999,30,23.959722
168000,34,6.661111
168004,4,15.833333
168008,7,17.583333
168016,7,13.200000
168018,431,2.102142
168019,1,0.000000
168021,149,16.186739
168024,38,2.133333
168041,44,31.091270
168042,2,30.000000
168047,6,57.833333
168054,82,11.780193
168062,261,10.739798
168064,74,16.382540
168073,1,26.000000
168090,9,11.125000
168091,142,29.178048
168097,13,10.250000
168101,4,27.250000
168105,14,19.454545
168110,5,42.250000
168121,24,13.205128
168128,7,2.125000
168154,1219,27.088843
168155,843,21.100859
168180,8,22.250000
168185,7,31.000000
168187,1779,25.359992
168190,20,4.125000
168193,31,27.663139
168221,102,27.808710
168225,20,27.950000
168228,17,10.259259
168252,5642,14.831547
168253,39,26.208333
168264,22,22.138889
168271,445,17.823723
168275,391,11.829982
168291,7,10.200000
168295,91,17.430685
168303,1,10.000000
168307,108,0.957960
168315,6,1.200000
168329,5,2.000000
168336,118,18.432134
168361,15136,3.036346
168366,224,3.851647
168377,128,3.343690
168412,80,18.688596
168416,154,43.202869
168446,2,3.000000
168464,5,22.500000
168466,594,0.983090
168473,15,14.000000
168481,38,10.999820
168490,3,1.000000
168500,4,11.666667
168522,12,31.944444
168562,6,79.375000
168575,8,20.785714
168578,1,2.000000
168579,153,12.309875
168583,20,29.469697
168598,88,7.508940
168601,31,23.144444
168603,1,30.000000
168606,8,26.083333
