Fuel consumption,# of cylinders,Engine displacement,Engine power,Weight,Acceleration,Year,Origin
13,8,5,130,1589,12,2005,US
16,8,6,165,1675,11.5,2005,US
13,8,5,150,1559,11,2005,US
15,8,5,150,1557,12,2005,US
14,8,5,140,1564,10.5,2005,US
16,8,7,198,1969,10,2005,US
17,8,7,220,1975,9,2005,US
17,8,7,215,1956,8.5,2005,US
17,8,7,225,2007,10,2005,US
16,8,6,190,1746,8.5,2005,US
16,8,6,170,1616,10,2005,US
17,8,6,160,1637,8,2005,US
16,8,7,150,1706,9.5,2005,US
17,8,7,225,1400,10,2005,US
10,4,2,95,1076,15,2005,Asia
11,6,3,95,1285,15.5,2005,US
13,6,3,97,1258,15.5,2005,US
11,6,3,85,1173,16,2005,US
9,4,2,88,966,14.5,2005,Asia
9,4,2,46,832,20.5,2005,Europe
9,4,2,87,1212,17.5,2005,Europe
10,4,2,90,1102,14.5,2005,Europe
9,4,2,95,1077,17.5,2005,Europe
9,4,2,113,1013,12.5,2005,Europe
11,6,3,90,1201,15,2005,US
24,8,6,215,2093,14,2005,US
24,8,5,200,1985,15,2005,US
21,8,5,210,1988,13.5,2005,US
26,8,5,193,2146,18.5,2005,US
9,4,2,88,966,14.5,2006,Asia
8,4,2,90,1027,15.5,2006,US
9,4,2,95,1011,14,2006,Asia
9,4,2,,928,19,2006,US
12,6,4,100,1195,13,2006,US
15,6,4,105,1560,15.5,2006,US
14,6,4,100,1510,15.5,2006,US
12,6,4,88,1498,15.5,2006,US
13,6,4,100,1491,15.5,2006,US
17,8,6,165,1909,12,2006,US
17,8,7,175,2025,11.5,2006,US
17,8,6,153,1884,13.5,2006,US
17,8,5,150,1858,13,2006,US
20,8,6,180,2248,11.5,2006,US
18,8,7,170,2153,12,2006,US
18,8,7,175,2331,12,2006,US
13,6,4,110,1344,13.5,2006,US
11,4,2,72,1092,19,2006,US
12,6,4,100,1489,15,2006,US
13,6,4,88,1424,14.5,2006,US
10,4,2,86,1007,14,2006,US
8,4,2,90,963,14,2006,Europe
8,4,1,70,941,19.5,2006,Europe
8,4,1,76,937,14.5,2006,Europe
8,4,1,65,804,19,2006,Asia
7,4,1,69,732,18,2006,Asia
9,4,2,60,832,19,2006,Europe
9,4,1,70,887,20.5,2006,US
10,4,2,95,1033,15.5,2007,Asia
9,4,2,80,964,17,2007,US
10,4,2,54,1022,23.5,2007,Europe
12,4,2,90,1092,19.5,2007,US
11,4,2,86,1010,16.5,2007,US
18,8,6,165,1939,12,2007,US
17,8,7,175,1989,12,2007,US
16,8,5,150,1876,13.5,2007,US
17,8,6,153,1873,13,2007,US
14,8,5,150,1666,11.5,2007,US
21,8,7,208,2101,11,2007,US
18,8,6,155,2042,13.5,2007,US
20,8,6,160,2021,13.5,2007,US
18,8,7,190,2006,12.5,2007,US
12,3,1,97,1057,13.5,2007,Asia
16,8,5,150,1765,12.5,2007,US
18,8,5,130,1859,14,2007,US
18,8,5,140,1948,16,2007,US
17,8,5,150,1849,14,2007,US
13,4,2,112,1330,14.5,2007,Europe
11,4,2,76,1139,18,2007,Europe
11,4,2,87,1351,19.5,2007,Europe
9,4,2,69,993,18,2007,Europe
11,4,2,86,1086,16,2007,US
8,4,2,92,1038,17,2007,Asia
10,4,2,97,1137,14.5,2007,Asia
8,4,2,80,982,15,2007,US
9,4,2,88,953,16.5,2007,Asia
18,8,6,175,1860,13,2008,US
17,8,5,150,1666,11.5,2008,US
18,8,6,145,1809,13,2008,US
17,8,5,137,1833,14.5,2008,US
16,8,5,150,1713,12.5,2008,US
20,8,7,198,2246,11.5,2008,US
18,8,7,150,2025,12,2008,US
18,8,6,158,1979,13,2008,US
17,8,5,150,1922,14.5,2008,US
18,8,7,215,2148,11,2008,US
20,8,7,225,2246,11,2008,US
18,8,6,175,1733,11,2008,US
13,6,4,105,1416,16.5,2008,US
15,6,4,100,1487,18,2008,US
13,6,4,100,1336,16,2008,US
13,6,4,88,1370,16.5,2008,US
10,6,3,95,1317,16,2008,US
9,4,2,46,885,21,2008,Europe
21,8,7,150,2267,14,2008,US
20,8,7,167,2225,12.5,2008,US
18,8,6,170,2111,13,2008,US
